ZY|SHY|Sky Airlines|ANTALYA BIRD|Turkey|
ZX|ABL|Air BC|AIRCOACH|Canada|Merged into Air Canada Jazz
ZX|GGN|Air Georgian|GEORGIAN|Canada|
ZW|AWI|Air Wisconsin|WISCONSIN|United States|
ZV|AMW|Air Midwest|AIR MIDWEST|United States|defunct
ZU|HCY|Helios Airways|HELIOS|Cyprus|
ZT|AWC|Titan Airways|ZAP|United Kingdom|
ZS|AZI|Azzurra Air|AZZURRA|Italy|defunct
ZS|SMY|Sama Airlines|NAJIM|Saudi Arabia|
ZP|AZP|Amaszonas Paraguay|GUARANI|Paraguay|
ZP|AZQ|Silk Way Airlines|SILK LINE|Azerbaijan|
ZL|RXA|Regional Express|REX|Australia|
ZK|GLA|Great Lakes Airlines|LAKES AIR|United States|
ZI|AAF|Aigle Azur|AIGLE AZUR|France|Former name: Lucas Aigle Azur; former IATA code: LK
ZH|CSZ|Shenzhen Airlines|SHENZHEN AIR|China|
ZG|VVM|Viva Macau|JACKPOT|Macao|
ZE|AZE|Arcus-Air Logistic|ARCUS AIR|Germany|
ZE|ESR|Eastar Jet|EASTAR|South Korea|
ZE|LCD|Líneas Aéreas Azteca|LINEAS AZTECA|Mexico|defunct
ZD|EWR|Ewa Air|MAYOTTE AIR|France|
ZB|BUB|Air Bourbon|BOURBON|Reunion|defunct
ZB|MON|Monarch Airlines|MONARCH|United Kingdom|defunct October 2017
ZA|CYD|AccessAir|CYCLONE|United States|defunct
ZA|SUW|Interavia Airlines|ASTAIR|Russia|
Z8|AZN|Línea Aérea Amaszonas||Bolivia|
Z7*|ADK|ADC Airlines|ADCO|Nigeria|defunct; former name: Aviation Development Company
Z6|UDN|Dniproavia|DNIEPRO|Ukraine|
Z5|GMG|GMG Airlines|GMG|Bangladesh|
Z4|OOM|Zoom Airlines|ZOOM|Canada|defunct, ICAO Code and callsign no longer allocated
Z3|SMJ|Avient Aviation|AVAVIA|Zimbabwe|
Z2|EZD|Philippines AirAsia|REDHOT|Philippines|
YX|MEP|Midwest Airlines|MIDEX|United States|
YW|ANE|Air Nostrum|AIR NOSTRUM|Spain|
YV|ASH|Mesa Airlines|AIR SHUTTLE|United States|
